name,candidate_macro_variants,candidate_values,source_count,source_files
Апельсин,2,47|0.9|0.1|11.8 <= src/data/foodsDatabase.ts:314|src/data/foodsDatabaseGenerator.ts:99 || 47|0.9|0.2|8.1 <= src/data/baseFoods.ts:237,3,src/data/foodsDatabase.ts:314; src/data/foodsDatabaseGenerator.ts:99; src/data/baseFoods.ts:237
Брокколи,2,34|2.8|0.4|5.2 <= src/data/foodsDatabase.ts:84|src/data/foodsDatabaseGenerator.ts:50 || 34|2.8|0.4|6.6 <= src/data/baseFoods.ts:285,3,src/data/foodsDatabase.ts:84; src/data/foodsDatabaseGenerator.ts:50; src/data/baseFoods.ts:285
Говядина,2,250|26|15|0 <= src/data/foodsDatabase.ts:119|src/data/foodsDatabaseGenerator.ts:153 || 187|18.9|12.4|0 <= src/data/baseFoods.ts:429,3,src/data/foodsDatabase.ts:119; src/data/foodsDatabaseGenerator.ts:153; src/data/baseFoods.ts:429
Гречка,2,343|13.3|3.4|57.1 <= src/data/foodsDatabase.ts:257|src/data/foodsDatabaseGenerator.ts:251 || 343|13.3|3.4|71.5 <= src/data/baseFoods.ts:61,3,src/data/foodsDatabase.ts:257; src/data/foodsDatabaseGenerator.ts:251; src/data/baseFoods.ts:61
Индейка,2,189|29|7|0 <= src/data/foodsDatabase.ts:141|src/data/foodsDatabaseGenerator.ts:157 || 189|29.5|7.7|0 <= src/data/baseFoods.ts:461,3,src/data/foodsDatabase.ts:141; src/data/foodsDatabaseGenerator.ts:157; src/data/baseFoods.ts:461
Йогурт,2,59|10|0.4|3.6 <= src/data/foodsDatabase.ts:200|src/data/foodsDatabaseGenerator.ts:220 || 59|4|3.2|4.7 <= src/data/baseFoods.ts:173,3,src/data/foodsDatabase.ts:200; src/data/foodsDatabaseGenerator.ts:220; src/data/baseFoods.ts:173
Макароны,2,371|10.4|1.1|71.5 <= src/data/foodsDatabase.ts:279|src/data/foodsDatabaseGenerator.ts:255 || 371|10.4|1.1|74.7 <= src/data/baseFoods.ts:93,3,src/data/foodsDatabase.ts:279; src/data/foodsDatabaseGenerator.ts:255; src/data/baseFoods.ts:93
Морковь,2,41|0.9|0.2|6.9 <= src/data/foodsDatabase.ts:51|src/data/foodsDatabaseGenerator.ts:47 || 35|1.3|0.1|6.9 <= src/data/baseFoods.ts:301,3,src/data/foodsDatabase.ts:51; src/data/foodsDatabaseGenerator.ts:47; src/data/baseFoods.ts:301
Овсянка,2,389|16.9|6.9|55.5 <= src/data/foodsDatabase.ts:268|src/data/foodsDatabaseGenerator.ts:253 || 389|16.9|6.9|66.3 <= src/data/baseFoods.ts:77,3,src/data/foodsDatabase.ts:268; src/data/foodsDatabaseGenerator.ts:253; src/data/baseFoods.ts:77
Огурец,2,16|0.8|0.1|2.5 <= src/data/foodsDatabase.ts:40|src/data/foodsDatabaseGenerator.ts:45 || 16|0.8|0.1|2.8 <= src/data/baseFoods.ts:253,3,src/data/foodsDatabase.ts:40; src/data/foodsDatabaseGenerator.ts:45; src/data/baseFoods.ts:253
Свинина,2,242|27|14|0 <= src/data/foodsDatabase.ts:130|src/data/foodsDatabaseGenerator.ts:155 || 242|16|21.6|0 <= src/data/baseFoods.ts:445,3,src/data/foodsDatabase.ts:130; src/data/foodsDatabaseGenerator.ts:155; src/data/baseFoods.ts:445
Сыр,2,363|25|27|2 <= src/data/foodsDatabase.ts:222|src/data/foodsDatabaseGenerator.ts:223 || 363|23|30|0 <= src/data/baseFoods.ts:189,3,src/data/foodsDatabase.ts:222; src/data/foodsDatabaseGenerator.ts:223; src/data/baseFoods.ts:189
Творог,2,121|17|5|1.8 <= src/data/foodsDatabase.ts:211|src/data/foodsDatabaseGenerator.ts:221 || 121|17.2|5|1.8 <= src/data/baseFoods.ts:141,3,src/data/foodsDatabase.ts:211; src/data/foodsDatabaseGenerator.ts:221; src/data/baseFoods.ts:141
Хлеб белый,2,265|9|3.2|49 <= src/data/foodsDatabaseGenerator.ts:287 || 266|7.6|3.2|50.9 <= src/data/baseFoods.ts:125,2,src/data/foodsDatabaseGenerator.ts:287; src/data/baseFoods.ts:125
Яблоко,2,52|0.3|0.2|11 <= src/data/foodsDatabase.ts:292|src/data/foodsDatabaseGenerator.ts:97 || 47|0.4|0.4|9.8 <= src/data/baseFoods.ts:205,3,src/data/foodsDatabase.ts:292; src/data/foodsDatabaseGenerator.ts:97; src/data/baseFoods.ts:205
